delegacion,ano,detecciones,fecha
     Aguascalientes,2000,67543,2000-01-01
     Baja California,2000,122240,2000-01-01
     Baja California Sur,2000,29843,2000-01-01
     Campeche,2000,41807,2000-01-01
     Coahuila ,2000,179643,2000-01-01
     Colima,2000,42920,2000-01-01
     Chiapas,2000,82796,2000-01-01
     Chihuahua,2000,199771,2000-01-01
     D.F. Norte,2000,354907,2000-01-01
     D.F. Sur,2000,365979,2000-01-01
     Durango,2000,98464,2000-01-01
     Guanajuato,2000,228811,2000-01-01
     Guerrero,2000,79404,2000-01-01
     Hidalgo,2000,57664,2000-01-01
     Jalisco,2000,363714,2000-01-01
     México Oriente,2000,377767,2000-01-01
     México Poniente,2000,214933,2000-01-01
     Michoacán,2000,131023,2000-01-01
     Morelos,2000,90151,2000-01-01
     Nayarit,2000,44770,2000-01-01
     Nuevo León,2000,414512,2000-01-01
     Oaxaca,2000,70951,2000-01-01
     Puebla,2000,194299,2000-01-01
     Querétaro,2000,64929,2000-01-01
     Quintana Roo,2000,52489,2000-01-01
     San Luis Potosí,2000,60937,2000-01-01
     Sinaloa,2000,219987,2000-01-01
     Sonora,2000,136037,2000-01-01
     Tabasco,2000,50235,2000-01-01
     Tamaulipas,2000,221992,2000-01-01
     Tlaxcala,2000,41538,2000-01-01
     Veracruz Norte,2000,163354,2000-01-01
     Veracruz Sur,2000,158304,2000-01-01
     Yucatán,2000,115214,2000-01-01
     Zacatecas,2000,46175,2000-01-01
     Aguascalientes,2001,76375,2001-01-01
     Baja California,2001,123325,2001-01-01
     Baja California Sur,2001,34749,2001-01-01
     Campeche,2001,41366,2001-01-01
     Coahuila ,2001,224937,2001-01-01
     Colima,2001,46691,2001-01-01
     Chiapas,2001,75049,2001-01-01
     Chihuahua,2001,208851,2001-01-01
     D.F. Norte,2001,315949,2001-01-01
     D.F. Sur,2001,418975,2001-01-01
     Durango,2001,105907,2001-01-01
     Guanajuato,2001,253986,2001-01-01
     Guerrero,2001,85526,2001-01-01
     Hidalgo,2001,60291,2001-01-01
     Jalisco,2001,353475,2001-01-01
     México Oriente,2001,371436,2001-01-01
     México Poniente,2001,263898,2001-01-01
     Michoacán,2001,130482,2001-01-01
     Morelos,2001,76926,2001-01-01
     Nayarit,2001,59761,2001-01-01
     Nuevo León,2001,398720,2001-01-01
     Oaxaca,2001,77993,2001-01-01
     Puebla,2001,175935,2001-01-01
     Querétaro,2001,63005,2001-01-01
     Quintana Roo,2001,33942,2001-01-01
     San Luis Potosí,2001,65122,2001-01-01
     Sinaloa,2001,193680,2001-01-01
     Sonora,2001,113616,2001-01-01
     Tabasco,2001,54479,2001-01-01
     Tamaulipas,2001,226094,2001-01-01
     Tlaxcala,2001,45091,2001-01-01
     Veracruz Norte,2001,150220,2001-01-01
     Veracruz Sur,2001,135514,2001-01-01
     Yucatán,2001,119281,2001-01-01
     Zacatecas,2001,49549,2001-01-01
     Aguascalientes,2002,77405,2002-01-01
     Baja California,2002,113658,2002-01-01
     Baja California Sur,2002,34263,2002-01-01
     Campeche,2002,46574,2002-01-01
     Coahuila ,2002,219128,2002-01-01
     Colima,2002,39286,2002-01-01
     Chiapas,2002,76566,2002-01-01
     Chihuahua,2002,251252,2002-01-01
     D.F. Norte,2002,338199,2002-01-01
     D.F. Sur,2002,432112,2002-01-01
     Durango,2002,105794,2002-01-01
     Guanajuato,2002,218135,2002-01-01
     Guerrero,2002,113091,2002-01-01
     Hidalgo,2002,54763,2002-01-01
     Jalisco,2002,320156,2002-01-01
     México Oriente,2002,467767,2002-01-01
     México Poniente,2002,252683,2002-01-01
     Michoacán,2002,124015,2002-01-01
     Morelos,2002,80464,2002-01-01
     Nayarit,2002,37094,2002-01-01
     Nuevo León,2002,405432,2002-01-01
     Oaxaca,2002,73374,2002-01-01
     Puebla,2002,138801,2002-01-01
     Querétaro,2002,73942,2002-01-01
     Quintana Roo,2002,43530,2002-01-01
     San Luis Potosí,2002,117498,2002-01-01
     Sinaloa,2002,171939,2002-01-01
     Sonora,2002,139717,2002-01-01
     Tabasco,2002,61908,2002-01-01
     Tamaulipas,2002,237023,2002-01-01
     Tlaxcala,2002,51927,2002-01-01
     Veracruz Norte,2002,150609,2002-01-01
     Veracruz Sur,2002,111079,2002-01-01
     Yucatán,2002,129223,2002-01-01
     Zacatecas,2002,52899,2002-01-01
     Aguascalientes,2003,74338,2003-01-01
     Baja California,2003,178379,2003-01-01
     Baja California Sur,2003,38348,2003-01-01
     Campeche,2003,53694,2003-01-01
